,channel_id,channel_name,country,genre_channel,join_date,subscriber,total_video,,,0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,United States,Gaming,4/29/2010,61006277,3424,
137,UCVWA4btXTFru9qM06FceSag,PitbullVEVO,-,Music,5/12/2009,9937005,191,,,,,,,,,,,
138,UCNdqe5zJ6k-i7XKoYWA4Z2g,Wassabi Productions,United States,Entertainment,1/25/2006,9929824,674,,,,,,,,,,,
139,UCEUf_uUDUfJJ3XfgwOxm-0A,Cia. Daniel Saboya,Brazil,Music,9/22/2007,9923395,621,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
141,UCkK0XNKXOvFkH66AS6jrCCg,ToyScouter,United States,Entertainment,10/18/2014,9844459,325,,,,,,,,,,,
142,UCBAb_DK4GYZqZR9MFA7y2Xg,Galinha Pintadinha,Brazil,Film and Animation,8/30/2006,9825480,44,,,,,,,,,,,
143,UClVrJwcIy7saPcGc1nct80A,Fueled By Ramen,United States,Music,6/9/2006,9810646,1135,,,,,,,,,,,
144,UCpx_k19S2vUutWUUM9qmXEg,ImagineDragonsVEVO,-,Music,1/23/2012,9780926,90,,,,,,,,,,,
145,UCplkk3J5wrEl0TNrthHjq4Q,Kurt Hugo Schneider,-,Entertainment,10/16/2007,9760243,416,,,,,,,,,,,
146,UCmdY1pHB-KbFYxOyhwjVeQw,MattyBRaps,Sint-Maarten,Music,5/31/2010,9756395,230,,,,,,,,,,,
147,UCU_yU4xGT9hrVFo6euH8LLw,SlivkiShow,Ukraine,Entertainment,12/11/2012,9720517,220,,,,,,,,,,,
148,UCKHhA5hN2UohhFDfNXB_cvQ,Manual do Mundo,Brazil,Science & Technology,7/24/2006,9691977,1320,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
151,UCjwmbv6NE4mOh8Z8VhPUx1Q,Rosanna Pansino,United States,Howto & Style,4/8/2010,9612761,555,,,,,,,,,,,
152,UCyb0T6J6nL5ibo0HLRMINKw,Galo Frito,Brazil,Entertainment,10/3/2007,9582697,342,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
154,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,Sint-Maarten,Music,11/8/2008,9565772,3521,,,,,,,,,,,
155,UC1KPy3cAAj0i0RIFC_SzjMg,VitalyzdTv,Sint-Maarten,Entertainment,8/7/2011,9556646,257,,,,,,,,,,,
156,UC6E2mP01ZLH_kbAyeazCNdg,Brave Wilderness,Sint-Maarten,Pets & Animals,9/8/2014,9513103,359,,,,,,,,,,,
157,UCwQSkyrft0ohf-ra21yIs9Q,EU FICO LOKO,Brazil,Entertainment,6/11/2010,9502997,718,,,,,,,,,,,
158,UC65afEgL62PGFWXY7n6CUbA,Trap City,Nederland,Music,10/12/2012,9456242,1252,,,,,,,,,,,
159,UCX52tYZiEh_mHoFja3Veciw,Eros Now,India,Entertainment,2/27/2007,9453772,10191,,,,,,,,,,,
160,UC07Kxew-cMIaykMOkzqHtBQ,LadyGagaVEVO,-,Music,5/12/2009,9443272,145,,,,,,,,,,,
161,UCDo9msNItILnyF_Y2eHaNQg,RiceGum,United States,Entertainment,9/25/2012,9419187,242,,,,,,,,,,,
162,UCbTLwN10NoCU4WDzLf1JMOA,YRF,India,Film and Animation,6/7/2006,9418627,3568,,,,,,,,,,,
163,UCzH3iADRIq1IJlIXjfNgTpA,Rooster Teeth,United States,Film and Animation,7/11/2006,9417210,7690,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
166,UCwjoPtSoNLAoX2sLBaKLYng,Toys and Funny Kids Surprise Eggs,-,Entertainment,4/24/2013,9305951,1815,,,,,,,,,,,
167,UCweOkPb1wVVH0Q0Tlj4a5Pw,1theK (ìëì¼ì´),"Korea, Republic of",Music,1/31/2011,9304548,11167,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
169,UC3IZKseVpdzPSBaWxBxundA,ibighit,"Korea, Republic of",Music,6/4/2008,9254921,259,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
171,UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,United States,Film and Animation,4/28/2006,9158041,29438,,,,,,,,,,,
172,UCgwv23FVv3lqh567yagXfNg,DisneyMusicVEVO,-,Music,5/20/2010,9151216,605,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
174,UCAuUUnT6oDeKwE6v1NGQxug,TED,Sint-Maarten,Science & Technology,12/6/2006,9080409,2608,,,,,,,,,,,
175,UC1zZE_kJ8rQHgLTVfobLi_g,The King of Random,United States,Education,1/4/2010,9066336,593,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
179,UCzTKskwIc_-a0cGvCXA848Q,NikkieTutorials,Nederland,Howto & Style,6/23/2008,8972925,652,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
181,UCe3yZzUwpmy2eKKmF9svX0Q,Jason Derulo,Sint-Maarten,Music,7/21/2008,8952044,234,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
183,UCHEf6T_gVq4tlW5i91ESiWg,REACT,-,Entertainment,7/30/2013,8865947,1162,,,,,,,,,,,
184,UCMNmwqCtCSpftrbvR3KkHDA,Guava Juice,United States,Entertainment,7/18/2006,8850676,1036,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
186,UCn8zNIfYAQNdrFRrr8oibKw,VICE,United States,Entertainment,12/16/2005,8788288,2371,,,,,,,,,,,
187,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,Canada,Education,9/8/2006,8774473,404,,,,,,,,,,,
188,UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,Great-Britain,Entertainment,4/12/2008,8770898,1796,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
190,UC9TO_oo4c_LrOiKNaY6aysA,Daddy Yankee,Puerto Rico,Music,5/16/2011,8743560,304,,,,,,,,,,,
191,UCzw-C7fNfs018R1FzIKnlaA,BIGBANG,-,Music,10/10/2005,8714883,705,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
193,UCNnwYefwrkVBAbMUzLpxbEQ,RomeoSantosVEVO,-,Music,4/21/2011,8707685,137,,,,,,,,,,,
194,UCLcCpNY-zaL3vEERD5rh5Ew,RsiamMusic : à¸­à¸²à¸£à¹à¸ªà¸¢à¸²à¸¡,Thailand,Music,3/8/2011,8706672,1572,,,,,,,,,,,
195,UCR5wZcXtOUka8jTA57flzMg,netd mÃ¼zik,Turkey,Music,1/23/2014,8644721,7397,,,,,,,,,,,
196,UCYWOjHweP2V-8kGKmmAmQJQ,Badabun,-,Entertainment,10/14/2014,8615377,2225,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
199,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,-,Sports,11/21/2005,8579663,27298,,,,,,,,,,,
200,UCAoMPWcQKA_9Af5YhWdrZgw,MyLifeAsEva,Sint-Maarten,Howto & Style,7/25/2011,8464963,236,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
202,UClnKzwo9CPkYix6V9jK4JTQ,Musas,MÃ©xico,Howto & Style,8/28/2012,8404554,430,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
204,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,India,Entertainment,6/13/2008,8359500,19078,,,,,,,,,,,
205,UCssD3_aDYhaG44mwP53CO0w,littlemixVEVO,Great-Britain,Music,10/29/2011,8294888,117,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
207,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,India,Music,11/22/2012,8282274,4843,,,,,,,,,,,
208,UC5nc_ZtjKW1htCVZVRxlQAQ,MrSuicideSheep,Canada,Entertainment,4/9/2010,8268955,1912,,,,,,,,,,,
209,UCw8ZhLPdQ0u_Y-TLKd61hGA,1MILLION Dance Studio,"Korea, Republic of",Entertainment,2/6/2015,8217479,967,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
211,UC5H_KXkPbEsGs0tFt8R35mA,Martin Garrix,Nederland,Music,1/15/2011,8198980,83,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
213,UCGwPbAQdGA3_88WBuGtg9tw,grav3yardgirl,-,Howto & Style,12/3/2010,8153932,1374,,,,,,,,,,,
214,UCoTyVfIkM-hjz4JauDoVvog,ExpCaseros,-,Howto & Style,9/18/2012,8151520,556,,,,,,,,,,,
215,UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,Philippines,Entertainment,7/16/2008,8149247,82520,,,,,,,,,,,
216,UCs2t9DlvAuyTBkvk2djGZKw,Genierock,Thailand,Music,3/9/2008,8141666,773,,,,,,,,,,,
217,UCulYu1HEIa7f70L2lYZWHOw,michaeljacksonVEVO,Sint-Maarten,Music,9/2/2009,8138365,128,,,,,,,,,,,
218,UCQznUf1SjfDqx65hX3zRDiA,DrakeVEVO,-,Music,8/17/2009,8118269,34,,,,,,,,,,,
219,UCvu362oukLMN1miydXcLxGg,EllieGouldingVEVO,-,Music,2/11/2010,8034311,96,,,,,,,,,,,
220,UCDsO-0Yo5zpJk575nKXgMVA,RocketJump,Sint-Maarten,Film and Animation,2/22/2006,8018583,319,,,,,,,,,,,
221,UCG8xW9RS7d_6AQigNkHPkSA,luisitorey,MÃ©xico,Entertainment,3/10/2006,8010744,499,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
223,UC22nIfOTM7KLIQuFGMKzQbg,Wave Music,India,Music,10/29/2014,7937659,14786,,,,,,,,,,,
224,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,Brazil,Entertainment,11/5/2009,7905301,1726,,,,,,,,,,,
225,UCj2HtBTppiQLVrZfEjcFxig,SevenSuperGirls,Great-Britain,Entertainment,11/27/2008,7902494,2007,,,,,,,,,,,
226,UCqjjyPUghDSSKFBABM_CXMw,Anitta,Brazil,Music,11/2/2011,7873141,42,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
229,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,United States,Entertainment,1/20/2013,7858827,1712,,,,,,,,,,,
230,UCy7whoHQXzhYxp9AQmrPFVw,TotoyKids,Brazil,Film and Animation,12/2/2014,7857677,661,,,,,,,,,,,
231,UCvVuqRzGVqRlmZYlTf99M_w,Tyler Oakley,Sint-Maarten,Entertainment,9/19/2007,7839765,507,,,,,,,,,,,
232,UCzoUWqjCbcfWFdOMvoep8FA,Juan De Dios Pantoja,-,Entertainment,6/9/2014,7828668,91,,,,,,,,,,,
233,UCCI5Xsd_gCbZb9eTeOf9FdQ,Like Nastya,Russian Federation,Entertainment,1/14/2016,7806974,261,,,,,,,,,,,
234,UC6sSkkemzPjmrzS0Y0V_2zw,Toys AndMe,Great-Britain,Entertainment,4/5/2015,7793659,488,,,,,,,,,,,
235,UChM5Ff2yVeIZ16EWiB081cg,Reaction Time,United States,Entertainment,4/25/2015,7767825,900,,,,,,,,,,,
